Team,City,State,Venue,League
Celtics,Boston,Massachusetts,TD Garden,NBA
Nets,Brooklyn,New York,Barclays Center,NBA
Knicks,New York,New York,Madison Square Garden,NBA
76ers,Philadelphia,Pennsylvania,Wells Fargo Center,NBA
Raptors,Toronto,Ontario,Air Canada Centre,NBA
Bulls,Chicago,Illinois,United Center,NBA
Cavaliers,Cleveland,Ohio,Quicken Loans Arena,NBA
Pistons,Detriot,Michigan,The Palace of Auburn Hills,NBA
Pacers,Indianapolis,Indiana,Bankers Life Fieldhouse,NBA
Bucks,Milwaukee,Wisconsin,Bradley Center,NBA
Hawks,Atlanta,Georgia,Philips Arena,NBA
Bobcats,Charlotte,North Carolina,Time Warner Cable Arena,NBA
Heat,Miami,Florida,AmericanAirlines Arena,NBA
Magic,Orlando,Florida,Amway Center,NBA
Wizards,Washington,D.C.,Verizon Center,NBA
Nuggets,Denver,Colorado,Pepsi Center,NBA
Timberwolves,Minneapolis,Minnesota,Target Center,NBA
Thunder,Oklahoma City,Oklahoma,Chesapeake Energy Arena,NBA
Trail Blazers,Portland,Oregon,Rose Garden,NBA
Jazz,Salt Lake City,Utah,EnergySolutions Arena,NBA
Warriors,Oakland,California,Oracle Arena,NBA
Clippers,Los Angeles,California,Staples Center,NBA
Lakers,Los Angeles,California,Staples Center,NBA
Suns,Phoenix,Arizona,US Airways Center,NBA
Kings,Sacramento,California,Power Balance Pavilion,NBA
Mavericks,Dallas,Texas,American Airlines Center,NBA
Rockets,Houston,Texas,Toyota Center,NBA
Grizzlies,Memphis,Tennessee,FedExForum,NBA
Hornets,New Orleans,Louisiana,New Orleans Arena,NBA
Spurs,San Antonio,Texas,AT&T Center,NBA